"State","TotalPop","Men","Women","VotingAgeCitizen","MeanCommute","Employed","Hispanic_","White_","Black_","Native_","Asian_","Pacific_","Poverty_","ChildPoverty_","Professional_","Service_","Office_","Construction_","Production_","Drive_","Carpool_","Transit_","Walk_","OtherTransp_","WorkAtHome_","PrivateWork_","PublicWork_","SelfEmployed_","FamilyWork_","Unemployment_","income_weighted"
"Alabama",4850771,0.484625227618455,0.515374772381545,0.752852278534691,24.703148539244,0.423748925686247,0.0408813361834644,0.659299727816465,0.26409183199949,0.00465802240509808,0.0127888947963118,0.000300158469653587,0.181702867441073,0.256749906355093,0.327674095520073,0.170661736041549,0.235933627870703,0.0991192946440885,0.16658712604656,0.855226725813278,0.0877773863165258,0.004105120608662,0.0123234017849946,0.0105203894391222,0.0300325453417611,0.789620454150485,0.156477805280851,0.0519762734625073,0.00189289496453244,0.0775122140377272,25746.3472338433
"Alaska",738565,0.523067028629843,0.476932971370157,0.718356542755208,19.1626860195108,0.479368775937121,0.0679601659975764,0.615375762458281,0.0305619681409219,0.137681856031629,0.060583699471272,0.0119082274410512,0.101885412929126,0.135056494689025,0.363448037748878,0.176049501397981,0.228816691828072,0.125023525349834,0.106662243675235,0.672311847975466,0.122513252049583,0.014549836507281,0.0838545016349272,0.0611415379824389,0.0456547494127125,0.668715685146196,0.267220894572583,0.0618225883977714,0.00221375234407263,0.0815757583963497,35064.5791677104
"Arizona",6809946,0.497075160361037,0.502924839638963,0.688724550826101,25.2790053227816,0.433761295610861,0.30888291918908,0.556015568992764,0.040542465388125,0.0391514117733092,0.0304366583817258,0.00176345010665283,0.171952611665349,0.228368624362073,0.343523281976098,0.202082953374373,0.258203956389669,0.0959315976954883,0.100253952087138,0.762634241152573,0.111081644406578,0.0194776874882708,0.0207659502733208,0.0259943324073348,0.0600267608583093,0.790366325959119,0.145354750243247,0.0626483675494637,0.00163510841348815,0.074072834057715,27963.521560574
"Arkansas",2977944,0.490825549439479,0.509174450560521,0.733356638002595,21.729500550896,0.428663534304205,0.0716141740744621,0.730135959574794,0.153513968026262,0.00569587608094712,0.0140657446882816,0.00234423481435514,0.183529307468508,0.253984964122898,0.320857276026682,0.173673178541974,0.232274011868591,0.107216589700814,0.165985659904955,0.826835225914255,0.106211869665783,0.00386373954647905,0.0182192814908541,0.0126493312164366,0.0321963744113388,0.778790668998477,0.157659781379368,0.0617583809500783,0.00181366741617707,0.0644404327280835,24426.1404183557
"California",38982847,0.496797450427364,0.503202549572636,0.640540928167714,28.8568719178874,0.46158545064705,0.387499609764264,0.379084754892325,0.0554489773412393,0.00353357978189741,0.139239035055598,0.00354550810514173,0.15202622322582,0.190090144006157,0.365794550613504,0.190320553037083,0.231673638408195,0.0966669263535318,0.115556285563238,0.739401332078183,0.106776295738482,0.0483803555958855,0.0260180073559019,0.0250310091512813,0.054406698412766,0.779630410267367,0.137960318803806,0.0806624513596967,0.00176092833855875,0.078921660082959,33127.9332230845
"Colorado",5436519,0.502401444748009,0.497598555251991,0.716149617061947,25.1993689404593,0.507691778507534,0.2128665419913,0.686452489175518,0.0385987798442349,0.00527414693115208,0.0297609554937636,0.00137220158708173,0.117069028913538,0.144826128631207,0.404005577833904,0.176146721826963,0.230347948751766,0.0966011523182389,0.0929254546889287,0.755687232951821,0.0931114192739876,0.0302241195147115,0.0267421120021838,0.021510455495511,0.0727358811769075,0.796648921856063,0.138189896880706,0.0632954653520019,0.00184217143359565,0.0538846640653698,34845.233160962
"Connecticut",3594478,0.487983512487766,0.512016487512234,0.723274422600444,26.1751961567477,0.502183070810282,0.153556649950285,0.680512163379495,0.0976197378311955,0.00143998655715795,0.0431116840887606,0.000184727796358748,0.103706574362119,0.125030950252025,0.4204866464616,0.181322851329178,0.229201847945654,0.0731903213762888,0.0958064008181438,0.775703732224818,0.0818847688037039,0.0523728341083184,0.0302697637876765,0.0113746697016924,0.04838449421585,0.805710870952611,0.129352857355087,0.0630647899361187,0.00190319707061776,0.0736446293453458,41365.3992237538
"Delaware",943732,0.48411625334311,0.51588374665689,0.738905748665935,25.7081530561642,0.467837267359801,0.0898199912687076,0.630357982986695,0.213481157786321,0.00304747534257607,0.0382364908681702,0.000216163063242531,0.124028855649697,0.164468302441795,0.390614072639266,0.182834745457397,0.234908851241666,0.0853229518549758,0.10634692900103,0.808992383430889,0.080430673114825,0.030218324693875,0.0227765933548931,0.0118147948782069,0.0457990192130817,0.815535554585412,0.143777046873477,0.0395345288704844,0.00120902968215553,0.0646497098752612,32625.2822538602
"District of Columbia",672391,0.474494750822066,0.525505249177934,0.748243209680082,30.6940029091888,0.531983622624336,0.106797979152011,0.359771323530505,0.468722811578382,0.0017088271556282,0.0372997259035293,0.000365858555513087,0.18162497713384,0.197452077734532,0.571338700250301,0.173350029967683,0.181919448654131,0.0303647728776858,0.0430404333193038,0.361593180158568,0.0577446753451489,0.35409159254065,0.116436716136891,0.0558886124293752,0.0542719935275755,0.709268862908635,0.248000047591357,0.0413107849450692,0.00133404522071235,0.0924209277042673,50832.2487540732
"Florida",20278447,0.488911256369879,0.511088743630121,0.713141149319768,27.018143340596,0.444736719730066,0.247303010925837,0.548613461376012,0.154324243863448,0.00205957586397025,0.0263130110505997,0.000503786113404049,0.156126847386291,0.211059949511913,0.339746184705367,0.205499760410647,0.267122871884617,0.0940801827674476,0.0935671750405739,0.792635106623303,0.0926082751800471,0.0202180176815315,0.0146611325808135,0.0224808142359225,0.0573972454596745,0.817965004913838,0.120391221280407,0.0599705194386927,0.00166925997834055,0.07326981203245,28773.3636255371
"Georgia",10201635,0.487067710224881,0.512932289775119,0.701453541515649,27.9375261137477,0.451528504989641,0.0931592828012373,0.536128669571103,0.308826477324468,0.00178040088672061,0.0378994151427688,0.000451202184747837,0.171863137624508,0.238019395910557,0.353938461824992,0.170552171294111,0.242426140515711,0.0939436668730061,0.139131325517919,0.794395506210524,0.101846909833571,0.0213857876703097,0.0154324282333175,0.0168376931736923,0.0500811879664387,0.791724463774679,0.151788708378608,0.054898455002556,0.00160209613459019,0.0768074921323886,28014.8832034277
"Hawaii",1421658,0.502217129576874,0.497782870423126,0.714987711531184,27.5630519134299,0.472517300222698,0.102277059602239,0.222334766870795,0.01686692580072,0.00123728773024173,0.370140357244851,0.092427292640002,0.103417980977141,0.123868047026781,0.340830917140409,0.228586622098986,0.248130000323566,0.0967848807519108,0.0856394435229851,0.672739153861196,0.136979498585454,0.0657985253837421,0.0429582923600472,0.0344393658671776,0.0470682822450969,0.71427305301275,0.216405070699141,0.0674339398083083,0.00194631901624723,0.0516776890081862,32510.9922872347
"Idaho",1657375,0.501170223998793,0.498829776001207,0.704829625160268,20.9073634210725,0.451713100535485,0.121843276265178,0.825462553737084,0.00644151142620107,0.0107977977223018,0.0132341805566031,0.00120190059582171,0.146152801870428,0.183009276717701,0.338213741609473,0.17812022022777,0.233873444452824,0.121129496945471,0.128707142318425,0.784576212384041,0.100198204992835,0.00703582472282978,0.0272629911758051,0.0210821328908666,0.0598343766498228,0.771267214722076,0.152483897729844,0.0735403876612113,0.00268617542801116,0.0539539935138397,25471.2879559544
"Illinois",12854526,0.491079951139389,0.508920048860611,0.703528080304167,28.7502392335944,0.480893111111215,0.168195077749269,0.618887697609387,0.140527079722737,0.00112614031820388,0.0518789257573558,0.000232291723553245,0.137675010342661,0.180803010550525,0.362036686533599,0.179292258617704,0.239747463267024,0.0737474100561934,0.14517447006603,0.73604884380801,0.0816604206176097,0.092215768982847,0.0290370099994352,0.0169080524633892,0.0441475632784904,0.8309536267615,0.121272071797902,0.0463066471684759,0.00147893434577051,0.0768644444765991,32924.2347770779
"Indiana",6614418,0.49260252375946,0.50739747624054,0.733296111615565,23.4368939718062,0.472346168627383,0.0668178213109604,0.798350512471392,0.0913421256412885,0.00183402379468609,0.020658053361611,0.000297985400983125,0.149147816179746,0.200022587021262,0.323601562525985,0.17097770355608,0.226388020835696,0.0889729073669067,0.190098509044938,0.825652838995056,0.0899088929668491,0.0113095362282819,0.0225768918746895,0.014613530623556,0.0359230396385593,0.846437736472052,0.106393487681002,0.0456542057063826,0.00150066113148579,0.0623478891113322,27304.7023697323
